year,country,bbd
2006,United States,8317.00548
2007,United States,8469.36712
2008,United States,8564.23224
2009,United States,9133.12877
2010,United States,9692.43288
2011,United States,10135.55068
2012,United States,11114.72405
1980,Uruguay,0
1981,Uruguay,0
1982,Uruguay,0
1983,Uruguay,0
1984,Uruguay,0
1985,Uruguay,0
1986,Uruguay,0.15302
1987,Uruguay,0.24685
1988,Uruguay,0.11182
1989,Uruguay,0.08454
1990,Uruguay,0.16485
1991,Uruguay,0.27341
1992,Uruguay,0.34317
1993,Uruguay,0.1684
1994,Uruguay,0.25
1995,Uruguay,-0.00079
1996,Uruguay,0.16605
1997,Uruguay,0.46425
1998,Uruguay,0.46641
1999,Uruguay,0.50147
2000,Uruguay,0.36619
2001,Uruguay,0.51138
2002,Uruguay,0.43503
2003,Uruguay,0.51349
2004,Uruguay,0.93574
2005,Uruguay,0.97608
2006,Uruguay,1.03742
2007,Uruguay,0.96333
2008,Uruguay,1.00084
2009,Uruguay,0.76474
2010,Uruguay,1.08286
2011,Uruguay,1.18286
2012,Uruguay,1.18286
